user_id,product_id,category,price,viewed_pdp,added_to_cart,purchased
1,1037,Hoodies,2499,1,1,1
4,1006,Shirts,999,1,0,0
5,1036,Hoodies,1999,1,0,0
10,1014,Jeans,1689,1,0,0
11,1002,Shirts,719,1,0,0
21,1019,Cargo,1999,1,0,0
27,1005,Shirts,979,1,0,0
36,1027,Trousers,1699,1,0,0
37,1035,Hoodies,2299,1,0,0
39,1027,Trousers,1699,1,0,0
43,1022,Cargo,2299,1,1,0
45,1037,Hoodies,2499,1,0,0
50,1039,Footwear,2499,1,0,0
51,1019,Cargo,1999,1,0,0
52,1007,Shirts,999,1,0,0
53,1001,Shirts,999,1,0,0
56,1035,Hoodies,2299,1,0,0
59,1023,Cargo,2099,1,0,0
66,1032,Tshirts,999,1,0,0
68,1023,Cargo,2099,1,0,0
69,1029,Tshirts,799,1,0,0
70,1008,Shirts,1409,1,0,0
71,1026,Trousers,1499,1,0,0
72,1017,Jeans,1599,1,0,0
78,1004,Shirts,1129,1,0,0
84,1015,Jeans,1699,1,0,0
85,1031,Tshirts,699,1,0,0
86,1011,Jeans,1299,1,1,1
89,1001,Shirts,999,1,0,0
93,1036,Hoodies,1999,1,0,0
95,1007,Shirts,999,1,0,0
96,1005,Shirts,979,1,0,0
97,1018,Jeans,1799,1,0,0
99,1009,Shirts,999,1,0,0
101,1024,Cargo,1799,1,0,0
106,1029,Tshirts,799,1,0,0
107,1006,Shirts,999,1,0,0
109,1005,Shirts,979,1,0,0
110,1024,Cargo,1799,1,0,0
111,1014,Jeans,1689,1,0,0
113,1001,Shirts,999,1,0,0
114,1019,Cargo,1999,1,0,0
119,1013,Jeans,1399,1,1,0
121,1017,Jeans,1599,1,0,0
123,1002,Shirts,719,1,0,0
128,1011,Jeans,1299,1,0,0
129,1030,Tshirts,899,1,0,0
130,1033,Tshirts,1099,1,0,0
135,1011,Jeans,1299,1,0,0
141,1029,Tshirts,799,1,0,0
142,1011,Jeans,1299,1,0,0
144,1013,Jeans,1399,1,0,0
145,1026,Trousers,1499,1,0,0
146,1020,Cargo,1899,1,1,1
149,1039,Footwear,2499,1,1,0
150,1024,Cargo,1799,1,0,0
151,1006,Shirts,999,1,0,0
153,1029,Tshirts,799,1,0,0
155,1001,Shirts,999,1,0,0
156,1029,Tshirts,799,1,0,0
158,1026,Trousers,1499,1,0,0
159,1035,Hoodies,2299,1,0,0
160,1004,Shirts,1129,1,0,0
161,1009,Shirts,999,1,0,0
162,1033,Tshirts,1099,1,1,1
163,1030,Tshirts,899,1,0,0
166,1026,Trousers,1499,1,1,0
167,1014,Jeans,1689,1,0,0
168,1029,Tshirts,799,1,1,0
169,1020,Cargo,1899,1,0,0
173,1022,Cargo,2299,1,0,0
174,1015,Jeans,1699,1,0,0
175,1014,Jeans,1689,1,0,0
176,1006,Shirts,999,1,0,0
177,1029,Tshirts,799,1,0,0
178,1039,Footwear,2499,1,0,0
179,1039,Footwear,2499,1,1,0
184,1007,Shirts,999,1,0,0
185,1013,Jeans,1399,1,0,0
186,1002,Shirts,719,1,0,0
187,1039,Footwear,2499,1,1,1
188,1036,Hoodies,1999,1,0,0
189,1022,Cargo,2299,1,1,0
192,1002,Shirts,719,1,0,0
